Tempo (s),Posicao X,Posicao Y
16.733383333333332,336,593
16.75006666666667,337,592
16.76675,337,592
16.783433333333335,336,592
16.800116666666668,335,592
16.8168,334,592
16.833483333333334,332,592
16.850166666666667,331,592
16.86685,328,592
16.883533333333332,326,593
16.90021666666667,323,593
16.916900000000002,319,593
16.96695,308,594
17.300616666666667,209,594
17.3173,205,594
17.333983333333332,201,594
17.35066666666667,198,593
17.367350000000002,194,593
17.384033333333335,191,592
17.400716666666668,188,593
17.4174,186,592
17.434083333333334,184,592
17.450766666666667,183,592
17.46745,181,592
17.484133333333332,180,591
17.50081666666667,180,591
17.517500000000005,180,591
17.534183333333335,180,591
17.550866666666668,180,591
17.56755,181,591
17.584233333333334,182,591
17.600916666666667,184,591
17.6176,186,592
17.634283333333332,188,591
17.65096666666667,191,592
17.667650000000002,193,592
17.684333333333335,196,592
17.701016666666668,200,592
17.7177,203,592
17.734383333333334,207,593
17.751066666666667,211,593
17.76775,215,593
17.784433333333332,220,593
17.80111666666667,225,594
17.817800000000002,230,593
17.834483333333335,235,594
17.851166666666668,240,594
17.86785,246,594
17.884533333333334,251,593
17.901216666666667,257,593
17.9179,262,593
17.934583333333332,258,593
17.95126666666667,264,593
17.967950000000002,269,592
17.984633333333335,274,592
18.001316666666668,280,592
18.018,285,592
18.034683333333334,290,591
18.051366666666667,294,591
18.06805,299,591
18.084733333333332,304,590
18.10141666666667,312,590
18.118100000000002,312,589
18.134783333333335,316,589
18.151466666666668,319,588
18.16815,326,588
18.184833333333334,329,588
18.201516666666667,332,587
18.2182,334,587
18.234883333333332,336,586
18.25156666666667,337,586
18.268250000000002,338,586
18.284933333333335,339,586
18.301616666666668,340,586
18.3183,340,586
18.334983333333334,339,585
18.351666666666667,338,586
18.36835,337,586
18.385033333333332,336,586
18.401716666666665,334,586
18.418400000000002,327,587
18.435083333333335,329,587
18.451766666666668,326,587
18.46845,323,588
18.485133333333334,320,588
18.501816666666667,316,588
18.5185,310,589
18.53518333333333,309,590
18.55186666666667,301,590
18.568550000000002,300,590
18.585233333333335,291,590
18.601916666666668,287,590
18.6186,281,591
18.635283333333334,280,591
